angle_deg,Bn_T,Bt_T
1.930000000000000000e+02,-9.258192845395587511e-01,6.000396007244565566e-02
1.940000000000000000e+02,-9.947934011881206517e-01,2.229979174811979603e-01
1.950000000000000000e+02,-7.205953014203920759e-01,3.419316185757881321e-01
1.960000000000000000e+02,-5.637521242586812642e-01,2.096382850776026263e-01
1.970000000000000000e+02,-5.289194694247244533e-01,8.520623106463927343e-02
1.980000000000000000e+02,-5.576242956075064816e-01,2.038327094398525996e-02
1.990000000000000000e+02,-5.769399927557812280e-01,3.855350348415109707e-03
2.000000000000000000e+02,-5.770613020445900521e-01,-3.515353941538568172e-03
2.010000000000000000e+02,-5.597210626873332373e-01,-1.583329367223373918e-02
2.020000000000000000e+02,-5.212764776711058534e-01,-5.913976664914416537e-02
2.030000000000000000e+02,-5.036834964273634307e-01,-1.715914034213546768e-01
2.040000000000000000e+02,-5.320908031086495349e-01,-3.161912462239753197e-01
2.050000000000000000e+02,-5.863022569385667460e-01,-5.028693729391706668e-01
2.060000000000000000e+02,-3.965674558843015340e-01,-3.280865576780015447e-01
2.070000000000000000e+02,-1.101113494900705647e-01,-1.100748865659128412e-01
2.080000000000000000e+02,1.318946260265990711e-01,-1.703252391506825947e-01
2.090000000000000000e+02,5.953513936582673916e-01,-1.317857731619762052e-01
2.100000000000000000e+02,7.579568736647371852e-01,-4.468389322702515098e-02
2.110000000000000000e+02,8.206541341371131892e-01,-2.080868924957579580e-02
2.120000000000000000e+02,8.572269418190616719e-01,-1.780242339096105297e-02
2.130000000000000000e+02,9.033796641262634708e-01,-3.958214467000570336e-02
2.140000000000000000e+02,9.549665308985164636e-01,-1.938081618212584289e-01
2.150000000000000000e+02,6.903969308782409442e-01,-3.065721046857821652e-01
2.160000000000000000e+02,5.450512821249411388e-01,-1.674236195909351299e-01
2.170000000000000000e+02,5.366168331144327563e-01,-5.048785486762311092e-02
2.180000000000000000e+02,5.670432325859187106e-01,-1.014962207981956466e-02
2.190000000000000000e+02,5.732130352244213523e-01,1.713454295723060294e-03
2.200000000000000000e+02,5.588403927677637606e-01,1.407200448701029227e-02
2.210000000000000000e+02,5.131303819103999464e-01,4.894384923878020155e-02
2.220000000000000000e+02,4.492770535708260904e-01,1.622380065067403343e-01
2.230000000000000000e+02,3.741136051855757927e-01,3.437484368405802626e-01
2.240000000000000000e+02,7.994792110459381096e-02,4.280020404465622041e-01
2.250000000000000000e+02,1.827081775465874691e-02,2.979507810878927465e-01
2.260000000000000000e+02,-1.241113509593001485e-01,2.162229448418160616e-01
2.270000000000000000e+02,-6.300344755779745398e-01,1.369783152924393677e-01
2.280000000000000000e+02,-7.951840262727218889e-01,4.617742891634624147e-02
2.290000000000000000e+02,-8.581190145384318679e-01,1.869770496757083844e-02
2.300000000000000000e+02,-8.851903584324758434e-01,9.597720537715237477e-03
2.310000000000000000e+02,-9.019216132670297981e-01,7.212404828742802199e-03
2.320000000000000000e+02,-9.193707354059881265e-01,1.158836423790432502e-02
2.330000000000000000e+02,-9.546948106363194464e-01,3.561979362768230573e-02
2.340000000000000000e+02,-9.938072806833024853e-01,1.863476168981738068e-01
2.350000000000000000e+02,-7.279756687887914968e-01,2.795847332903129701e-01
2.360000000000000000e+02,-6.029680597670791231e-01,1.170371930342584410e-01
2.370000000000000000e+02,-6.284002900398315550e-01,2.266810819580727943e-02
2.380000000000000000e+02,-6.407257867942528495e-01,-3.110081035346989875e-03
2.390000000000000000e+02,-6.135903982643828858e-01,-2.482476240724390548e-02
2.400000000000000000e+02,-5.315379423884692978e-01,-8.748349290333104489e-02
2.410000000000000000e+02,-4.023641770705200238e-01,-2.778865775700126162e-01
2.420000000000000000e+02,-8.221855988104503909e-02,-3.699028643275780182e-01
2.430000000000000000e+02,1.843733882230695620e-02,-2.771468843177089525e-01
2.440000000000000000e+02,1.355672376163944703e-01,-3.098370048518664932e-01
