angle_deg,Bn_T,Bt_T
3.020000000000000000e+02,-5.694716937298783810e-01,-7.835238999903682000e-05
3.030000000000000000e+02,-5.601519292009966566e-01,-2.773189831986080933e-02
3.040000000000000000e+02,-5.313972087490637097e-01,-8.805293149393719765e-02
3.050000000000000000e+02,-6.328212761254761176e-01,-2.278544342298481906e-01
3.060000000000000000e+02,-8.509206982865860081e-01,-1.387260839207513641e-01
3.070000000000000000e+02,-8.066117126705574236e-01,-2.447251305823339163e-02
3.080000000000000000e+02,-7.769539379865330053e-01,-1.160919670628557387e-02
3.090000000000000000e+02,-7.548507669109112417e-01,-1.311020796143491651e-02
3.100000000000000000e+02,-7.253825596997900416e-01,-2.648881351091142422e-02
3.110000000000000000e+02,-6.645950543064935712e-01,-4.880752758840628536e-02
3.120000000000000000e+02,-4.994350703762312493e-01,-1.344935959711014983e-01
3.130000000000000000e+02,-2.470107660010339989e-02,-1.870361604497145502e-01
3.140000000000000000e+02,2.688658519101268518e-01,-2.191438225528638817e-01
3.150000000000000000e+02,2.857491689220428288e-01,-5.458706701722562116e-01
3.160000000000000000e+02,4.871757817773765264e-01,-4.709426264154662478e-01
3.170000000000000000e+02,4.972538323734286836e-01,-2.768967035308166347e-01
3.180000000000000000e+02,5.026453875395398008e-01,-1.347012398318961079e-01
3.190000000000000000e+02,5.450099954076467190e-01,-5.387579801299913207e-02
3.200000000000000000e+02,5.767346857469973775e-01,-1.529948799292457640e-02
3.210000000000000000e+02,5.879371550127917567e-01,-1.873715792840291439e-03
3.220000000000000000e+02,5.814770399849822358e-01,9.696114357896912228e-03
3.230000000000000000e+02,5.498596107878499506e-01,4.675941264621297222e-02
3.240000000000000000e+02,5.563838592495050639e-01,1.602926063030661041e-01
3.250000000000000000e+02,7.003169938181252885e-01,2.992662349321952298e-01
3.260000000000000000e+02,9.463072836876238458e-01,1.885789779066485705e-01
3.270000000000000000e+02,8.928962056458757957e-01,4.122682645072661689e-02
3.280000000000000000e+02,8.356234673464781881e-01,2.865128813648215589e-02
3.290000000000000000e+02,7.640430019680066742e-01,4.758924481549658969e-02
3.300000000000000000e+02,6.014245385976672020e-01,1.246138159494281084e-01
3.310000000000000000e+02,1.592349839878519357e-01,1.611543010057865932e-01
3.320000000000000000e+02,-7.242913174371189144e-02,8.981353031250313701e-02
3.330000000000000000e+02,-3.192889695502995617e-01,2.018540421272072838e-01
3.340000000000000000e+02,-8.346297727947890044e-01,3.311097204393451121e-01
3.350000000000000000e+02,-6.945806144427147943e-01,4.084250667817093117e-01
3.360000000000000000e+02,-5.666476906498150168e-01,2.664771506222851638e-01
3.370000000000000000e+02,-5.355454087077871073e-01,1.366309594373517622e-01
3.380000000000000000e+02,-5.599369579984114775e-01,4.937669261119684294e-02
3.390000000000000000e+02,-5.864086418325120675e-01,1.285872042785532465e-02
3.400000000000000000e+02,-5.957413708572925071e-01,8.372797330487569134e-04
3.410000000000000000e+02,-5.884466602577081984e-01,-9.091966033652032486e-03
3.420000000000000000e+02,-5.597535788664383949e-01,-3.839344516371931415e-02
3.430000000000000000e+02,-5.469659875938803761e-01,-1.331899130601445769e-01
3.440000000000000000e+02,-6.038503293632284663e-01,-2.653568002597823106e-01
3.450000000000000000e+02,-7.768145666405286143e-01,-3.941011948713180058e-01
3.460000000000000000e+02,-1.062196335333091879e+00,-2.750236199443292229e-01
3.470000000000000000e+02,-9.805887843104397206e-01,-1.026031892943601170e-01
3.480000000000000000e+02,-7.760870803528751027e-01,-1.420457731721785355e-01
3.490000000000000000e+02,-3.058854705272576746e-01,-1.819505713908031175e-01
3.500000000000000000e+02,-8.916303250894551391e-02,-8.389646805995142065e-02
3.510000000000000000e+02,1.332518464912127720e-01,-1.529917184997700852e-01
3.520000000000000000e+02,5.770936600263169014e-01,-1.404034811123241466e-01
3.530000000000000000e+02,7.725648986124702411e-01,-7.764333523418975869e-02
3.540000000000000000e+02,8.667748093991642921e-01,-1.981447630989644770e-01
3.550000000000000000e+02,6.464344588240883427e-01,-3.159836896251356220e-01
3.560000000000000000e+02,5.083556512447255926e-01,-1.940310764016145439e-01
3.570000000000000000e+02,4.774335620593752605e-01,-8.019973775585415021e-02
3.580000000000000000e+02,5.054977164581019311e-01,-2.130783784332876407e-02
3.590000000000000000e+02,5.236970084798594494e-01,-4.684178198087803752e-03
