t_s,torque_cmd_nm,torque_em_nm,copper_loss_w,core_loss_w,magnet_loss_w,total_loss_w,temp_c,phase_res_ohm
2.900000000000000234e-03,1.814573763622015434e+01,1.772097220090895675e+01,1.139024558031495538e+01,1.396807020933688364e+03,2.331191653038033110e+03,3.739388919552036441e+03,2.500424296421886794e+01,2.349199480279443378e-02
3.000000000000000062e-03,1.815076073067973894e+01,1.777254682448145218e+01,1.145664811590659049e+01,1.397173946601522630e+03,2.331913658606363697e+03,3.740544253323792873e+03,2.500438683094288805e+01,2.349200782488443037e-02
3.100000000000000325e-03,1.815578358706754969e+01,1.781853523599178146e+01,1.151602187564009938e+01,1.397513053747571121e+03,2.332589286087939399e+03,3.741618361711150555e+03,2.500453073896647282e+01,2.349202085099666784e-02
3.200000000000000153e-03,1.816080619745181224e+01,1.785960775136698686e+01,1.156917936388670931e+01,1.397827675482415088e+03,2.333224092478353668e+03,3.742620947324655390e+03,2.500467468553874184e+01,2.349203388084828564e-02
3.299999999999999982e-03,1.816582855390113949e+01,1.789635424767108418e+01,1.161684241658864103e+01,1.398120746006542504e+03,2.333822969936140908e+03,3.743560558359272363e+03,2.500481866823759347e+01,2.349204691419021565e-02
3.400000000000000244e-03,1.817085064848454579e+01,1.792929381576869829e+01,1.165965156262196700e+01,1.398394848265558039e+03,2.334390225178752644e+03,3.744444725006932458e+03,2.500496268493055041e+01,2.349205995080315759e-02
3.500000000000000073e-03,1.817587247327146116e+01,1.795888325466902913e+01,1.169817460171569401e+01,1.398652255931768195e+03,2.334929649429342589e+03,3.745280079962826676e+03,2.500510673374023440e+01,2.349207299049401593e-02
3.600000000000000335e-03,1.818089402033173130e+01,1.798552454654855381e+01,1.173291441658236955e+01,1.398894970383225427e+03,2.335444580031623900e+03,3.746072464831431716e+03,2.500525081301394792e+01,2.349208603309282245e-02
3.700000000000000164e-03,1.818591528173565308e+01,1.800957143477100431e+01,1.176431605198380304e+01,1.399124753272936232e+03,2.335937954719607205e+03,3.746827024044527207e+03,2.500539492129685470e+01,2.349209907844992604e-02
3.799999999999999992e-03,1.819093624955396749e+01,1.803133521254496330e+01,1.179277310284314595e+01,1.399343155211466637e+03,2.336412359413423928e+03,3.747548287727733623e+03,2.500553905730835424e+01,2.349211212643360566e-02
3.900000000000000255e-03,1.819595691585788089e+01,1.805108981694251469e+01,1.181863345877580507e+01,1.399551541024721246e+03,2.336870070310116262e+03,3.748240244793613329e+03,2.500568321992126997e+01,2.349212517692791935e-02
4.000000000000000083e-03,1.820097727271907928e+01,1.806907631163570116e+01,1.184220445471856920e+01,1.399751111994248504e+03,2.337313090947739965e+03,3.748906407396706982e+03,2.500582740814350302e+01,2.349213822983079944e-02
4.100000000000000346e-03,1.820599731220972828e+01,1.808550683170458484e+01,1.186375747756644117e+01,1.399942925439344663e+03,2.337743184841040147e+03,3.749549867757951233e+03,2.500597162110188521e+01,2.349215128505242195e-02
4.200000000000000608e-03,1.821101702640250508e+01,1.810056805506833655e+01,1.188353207753537433e+01,1.400127911957713195e+03,2.338161904216231051e+03,3.750173348251479638e+03,2.500611585802796100e+01,2.349216434251372165e-02
4.300000000000000003e-03,1.821603640737059493e+01,1.811442425734460926e+01,1.190173963084078501e+01,1.400306890603936608e+03,2.338570615309950881e+03,3.750779245544728383e+03,2.500626011824545003e+01,2.349217740214513614e-02
4.400000000000000265e-03,1.822105544718770886e+01,1.812722000012577794e+01,1.191856659757212178e+01,1.400480582251829674e+03,2.338970520642230440e+03,3.751369669491632521e+03,2.500640440115922303e+01,2.349219046388541579e-02
4.500000000000000527e-03,1.822607413792809794e+01,1.813908249666205919e+01,1.193417741561155765e+01,1.400649621357555816e+03,2.339362678624710043e+03,3.751946477397877516e+03,2.500654870624558512e+01,2.349220352768068704e-02
4.599999999999999922e-03,1.823109247166656388e+01,1.815012369366259648e+01,1.194871706827400715e+01,1.400814566314563081e+03,2.339748020822343278e+03,3.752511304205180295e+03,2.500669303304372093e+01,2.349221659348352600e-02
4.700000000000000185e-03,1.823611044047847685e+01,1.816044210328050212e+01,1.196231336016657920e+01,1.400975908568637806e+03,2.340127367148935718e+03,3.753065589077739787e+03,2.500683738114816990e+01,2.349222966125221260e-02
4.800000000000000447e-03,1.824112803643977543e+01,1.817012441525961464e+01,1.197507893266640444e+01,1.401134080641357514e+03,2.340501439243524601e+03,3.753610598817548635e+03,2.500698175020219338e+01,2.349224273095003659e-02
4.899999999999999842e-03,1.824614525162698797e+01,1.817924691562370043e+01,1.198711304745484441e+01,1.401289463192493258e+03,2.340870872245095143e+03,3.754147448485043242e+03,2.500712613989194111e+01,2.349225580254469745e-02
5.000000000000000104e-03,1.825116207811725388e+01,1.818787673512293068e+01,1.199850316375954051e+01,1.401442391236364983e+03,2.341236225157213084e+03,3.754677119557337392e+03,2.500727054994131393e+01,2.349226887600777691e-02
5.100000000000000366e-03,1.825617850798831299e+01,1.819607294786677443e+01,1.200932633236323710e+01,1.401593159613405078e+03,2.341597989971299739e+03,3.755200475917068161e+03,2.500741498010743413e+01,2.349228195131427416e-02
5.200000000000000629e-03,1.826119453331854459e+01,1.820388753812098770e+01,1.201965042704805064e+01,1.401742027806087435e+03,2.341956599697065485e+03,3.755718277930201111e+03,2.500755943017667349e+01,2.349229502844219636e-02
5.300000000000000024e-03,1.826621014618695327e+01,1.821136625108890783e+01,1.202953523195621344e+01,1.401889224177739152e+03,2.342312435430964342e+03,3.756231194840659555e+03,2.500770389996113963e+01,2.349230810737221176e-02
5.400000000000000286e-03,1.827122533867320442e+01,1.821854934159902228e+01,1.203903340135772204e+01,1.402034949703333950e+03,2.342665832577776655e+03,3.756739815682468361e+03,2.500784838929559584e+01,2.349232118808729924e-02
